asset,1,2,3,4,5,6
AAPL,5113334,8042,4851483,337441,43297,3
ABBV,500744,174,470808,33579,10186,3
ABNB,795452,2024,752777,45100,17415,3
ABT,405888,274,387287,21887,5580,3
ACN,270532,450,243687,31692,18924,3
ADBE,619704,1007,575032,46356,27141,3
ADI,961356,2204,918808,43307,16880,3
ADP,238506,612,211230,30459,12824,3
AFL,420275,664,399528,20689,3998,3
AIG,546526,1160,514203,37507,9483,3
ALL,243354,115,226172,18836,7750,3
AMAT,1329505,1162,1241516,99926,23567,3
AMD,4739383,2490,4480234,278593,44231,3
AMT,234811,358,215169,15291,8535,3
AMZN,4381122,5680,4188744,226346,36741,3
ANET,168916,272,151387,21672,12825,3
ASML,368538,328,352848,20929,10743,3
AVGO,234881,543,207111,36569,28401,3
AXP,550957,1406,516750,29228,13971,3
AZN,990854,180119,960363,31857,5573,3
BABA,1579176,1476,1500087,81602,19983,3
BAC,1266674,10451,1204455,76755,31808,3
BA,346573,136,321129,28462,14508,3
BBVA,119938,14074,118483,2147,1550,3
BDX,95675,82,88528,8760,5306,3
BHP,643507,4009,628307,14760,2601,3
BKNG,110333,267,101877,9828,8247,3
BLK,78691,66,71536,8123,5923,3
BMY,765739,4656,740355,28222,9534,3
BNS,676619,40157,671822,5542,1494,3
BP,1132072,96000,1111659,25759,6633,3
BSX,522802,3002,501433,26152,8170,3
BTI,361330,2440,349246,14234,4730,3
BUD,423992,121023,413084,13135,2038,3
BX,504836,536,469224,34850,13787,3
CARR,408552,589,389806,22235,4371,3
CCI,310647,1323,293574,17053,7640,3
CDNS,673588,1981,637918,36160,17578,3
CL,667773,681,646194,22992,5332,3
CMCSA,867496,9384,813518,62154,13351,3
COF,351137,377,319047,32468,10810,3
COP,702141,654,663780,40954,11179,3
COST,219860,731,200599,24179,17392,3
CP,447686,3844,436914,13364,3352,3
CRH,258383,8,255191,4267,1070,3
CRM,1303438,568,1249780,51241,20993,3
CSCO,1042280,3571,976713,79058,21276,3
CSX,769140,6679,722578,53624,13626,3
CVS,919795,4534,885218,37094,6250,3
CVX,710864,322,665211,46346,14302,3
C,1195255,3408,1123560,78083,17803,3
DASH,514563,1445,489326,26232,9592,3
DEO,185515,25158,180531,4190,2146,3
DE,129856,84,118570,13005,9540,3
DHI,531742,1026,501135,32869,10179,3
DIS,917480,1138,875524,47647,12390,3
DUK,487981,543,458181,34537,8190,3
EL,88623,91,80180,9414,5035,3
EMR,479750,187,457106,26756,6175,3
ENB,666989,82433,656884,10222,3495,3
